stringsfile version 1
3793
str_no_string NO_STRING!
str_npc15_backstory_a I'm_just_a_simple_farmer_looking_for_a_bit_of_work._You_see_I_don't_actually_own_any_land_to_work,_but_I'm_hoping_if_I_can_earn_a_little,_I_might_be_able_to_buy_a_small_plot_to_call_my_own.
str_npc16_backstory_a Well,_friend,_I've_spent_the_last_couple_of_years_searching_for_the_Horn_of_Valere.
str_npc1_backstory_b Several_weeks_ago,_there_were_some_unfortunate_visitors_to_my_town_-_Whitecloaks._{s19}from_{s20}_burst_into_my_home_after_raiding_my_village,_destroying_all_my_herbs_and_killing_my_livestock._I_couldn't_let_them_walk_over_me,_so_I_summoned_all_the_power_I_had_to_knock_them_down.
str_npc2_backstory_b Excellent!_If_you_will_forgive_my_self-promotion,_I_am_exactly_the_sort_you_want_in_your_employ._I_was_a_soldier_in_Kandor,_excelling_in_the_art_of_killing_Darkfriends_and_Trollocs._I_have_many_a_notch_in_my_sword,_but_perhaps_you_wish_to_hear_of_my_ah..._other_talents?
str_npc3_backstory_b Ah,_we_share_common_ground_already._I_have_been_searching_for_one_such_as_you,_the_Great_Lord_has_requested_that_I_join_your_band,_and_who_are_we_to_disobey?
str_npc4_backstory_b I_have_travelled_the_lands_far_and_wide,_delivering_messages_for_Logain_Albar_and_recruiting_men_for_the_Black_Tower._I_search_for_glory_gained,_in_the_name_of_the_Dragon!
str_npc5_backstory_b Zonnein_escaped_the_marath'damane!_She_wished_to_study_Zonnein,_learn_her_weaves_and_secrets._She_was_just_like_Zonnein's_sul'dam,_who_she_only_recently_managed_to_escape_from.
str_npc6_backstory_b I_was_Windfinder_to_a_raker._Our_captain_was_known_for_being_headstrong,_and_she_decided_to_take_us_across_the_Aryth_Ocean_in_some_fool_journey_to_find_new_islands_for_the_Atha'an_Miere._Though_she_was_repeatedly_warned_that_a_raker_could_not_travel_far_enough,_she_decided_to_depart_from_dock_on_a_long_journey_west._Some_length_into_our_journey,_when_we_were_low_on_supplies_and_morale,_we_saw_an_odd_ship_on_the_horizon_-_it_truly_dwarfed_any_of_those_we_had_seen_before._We_were_attacked_and_I_was_the_sole_survivor_-_it_is_sufficient_to_say_that_there_is_a_great_fleet_coming,_and_they_will_utterly_destroy_any_that_are_unprepared.
str_npc7_backstory_b Some_time_ago,_I_resided_in_Stedding_Taishin._A_beautiful_place_as_few_humans_have_seen_-_I_do_wonder_why_humans_do_not_visit_us_as_much_as_we_do_them,_sometimes._But_I_digress_-_one_day,_a_visitor_arrived._He_was_a_kindly_fellow_with_a_plain_face_who_told_us_that_he_was_just_passing_through_to_his_family's_farm._This,_I_later_discovered,_was_a_lie_-_a_small_detachment_of_a_local_lord's_soldiers_came_by_and_claimed_that_the_man_had_killed_a_number_of_the_children_in_the_town_-_I_questioned_the_man_himself,_and_he_confessed_to_such_an_act,_he_seemed_more_worried_about_convincing_me_that_he_was_not_a_Darkfriend._I_broke_his_neck_with_my_hands,_and_delivered_his_body_to_the_soldiers._I_left_with_them,_to_see_some_of_the_world_Outside_and_assist_in_correcting_such_injustice.
str_npc8_backstory_b I_am_Peluir,_a_soldier_of_fortune._I_have_been_through_many_a_battle,_and_so_far,_I've_failed_to_meet_my_match._I_admit_that_I_like_battle._Some_find_that_all_the_death_and_pain_caused_by_war_is_a_negative_thing,_but_I_feel_that_the_weak_need_to_be_removed_to_make_way_for_the_strong.
str_npc9_backstory_b I_was_born_in_a_small_village_in_the_far_west_reaches_of_Andor._Oddly_enough,_before_leaving_my_home,_I_didn't_even_know_I_lived_in_Andor._The_only_authority,_so_to_speak,_is_the_village_counsel,_and_the_women's_circle,_I_suppose._Since_I_was_young,_I_had_it_in_my_mind_to_see_the_world._I_could_never_get_the_stories_the_merchant's_guards_and_the_peddlers_told_when_they_visited_out_of_my_head._So,_as_soon_as_I_was_old_enough,_I_set_out.
str_npc10_backstory_b Of_course,_I'm_currently_without_a_ship._But_that_be_a_problem_for_another_day._I've_found_it_quite_possible_to_turn_a_profit_even_without_a_boat_to_call_my_own._As_long_as_I'm_able_to_avoid_the_tarifs,_that_is.
str_npc11_backstory_b Our_school_is_interested_in_all_manner_of_inventions_that_will,_in_time,_make_the_lives_of_common_people_better._Well,_perhaps_some_of_the_research_is_purely_for_knowledge,_but_I_believe_some_of_the_contraptions_built_in_our_hall_have_real_promise._For_example,_master_Poel_has_been_working_on_a_way_to_use_steam_to_propel_a_cart,_and_Master_Tovere_has_build_a_looking_glass_that_can_focus_on_the_moon.
str_npc12_backstory_b Or,_perhaps_you_are_in_the_mood_for_a_story._Would_you_hear_'The_Fall_of_Aleth-Lorien'_or_'The_Nine_Rings'?_Perhaps_'Mara_and_the_Three_Foolish_Kings'_if_you_are_looking_for_something_light._I_admit,_I_haven't_learned_all_these_stories_perfectly_yet,_but_I_get_better_with_each_telling._I_hope_someday_to_be_the_greatest_gleeman_in_the_land._Ever_since_I_heard_the_court_bard_in_Caemlyn_recite_'The_Bargain_of_Rogosh_Eagle-eye'_I_knew_a_gleeman_was_what_I_wanted_to_be.
str_npc13_backstory_b I_spent_my_youth,_and_much_of_my_middle_years_as_a_border_guard._While_I_wasn't_stationed_in_one_of_the_watch_towers,_I_was_campaigning_along_the_Blight,_or_defending_the_walls_of_one_of_the_inland_keeps._War_has_been_the_story_of_my_life._And_as_such,_I_never_did_take_the_time_to_get_married.
str_npc14_backstory_b I_am_Nienlea,_of_the_Bent_Peak_sept,_of_the_Daryne_Aiel._I_am_on_a_journey_to_regain_my_honor_and_hopefully_bring_no_more_shame_to_my_spear_sisters._You_see,_I_became_a_Maiden_of_the_Spear_when_I_was_16._I_was_proud_to_be_accepted_at_such_a_young_age,_and_eagerly_joined_an_expedition_to_the_Blight._It_was_my_duty_to_scout_ahead_and_warn_of_any_movement_by_the_enemy._I_was_very_attentive,_I_remember_the_terrain_down_to_the_last_detail._I_even_recall_seeing_a_strange_stone_that_was_carved_with_plants_that_almost_looked_real._But,_all_my_care_was_for_nothing._Several_miles_after_that_stone,_my_party_was_ambushed_by_Trollocs._I_returned_in_time_to_kill_the_last_of_them,_but_all_nineteen_of_my_spear_sisters_were_dead,_along_with_over_fourty_trollocs_and_two_halfmen._I_was_seriously_wounded_and_travel_west,_towards_the_Borderlands.
str_npc15_backstory_b So_far,_I_haven't_been_able_to_find_anyone_who_will_give_me_work,_so_I've_been_wandering_from_town_to_town_just_to_get_a_feel_for_the_lay_of_the_land._I_figure_the_more_land_I_cover,_the_better_chance_I'll_find_someone_who's_willing_to_offer_me_a_paying_job,_and_I_might_even_find_a_likely_place_to_start_saving_for._I_also_want_to_do_my_best_to_learn_the_customs_of_this_land_since_I'm_sort_of_new_to_the_area.
str_npc16_backstory_b I_haven't_always_been_a_Hunter_though._I_actually_grew_up_in_the_city_of_Katar,_over_in_Arad_Doman._City_life_didn't_really_suit_me,_so_when_my_parents_decided_to_sign_me_up_as_a_cooper's_apprentice_I_just_left._I_spent_a_few_years_traveling_the_length_of_the_Arith_Ocean_shoreline._There_are_a_few_nice_cities_along_that_stretch,_like_Falme_and_Tanchico,_but_most_of_that_area_could_almost_be_called_wilderness._From_there,_I_decided_to_travel_east_and_explore_new_lands._My_goal_was_to_make_it_all_the_way_to_Mayene,_but_I_never_made_it._While_passing_through_Illian,_the_Hunt_for_the_Horn_of_Valere_was_called._I_joined_and_have_been_searching_ever_since._Finally,_years_after_leaving_my_family_in_Katar,_I_have_found_the_life_I_was_meant_to_lead!
str_npc1_backstory_c You_see,_I_can_channel_-_saidar,_the_One_Power._Once_the_Whitecloaks_learned_this,_they_ran_to_call_the_archers._That_is_when_I_escaped,_I_ran_as_if_the_Dark_One_himself_was_behind_me_-_and_now_you_find_me_here._Perhaps_you_are_more_welcoming_to_my_kind?
str_npc2_backstory_c Of_course_you_would!_You_see,_I_can_channel_the_One_Power._I_can_bring_down_lightning,_rend_flesh_and_set_your_enemies_aflame._I_can_incite_the_deepest_fear_into_the_hearts_of_any_that_would_oppose_you!.
str_npc3_backstory_c I_hear_that_you_aspire_for_power._Though_my_main_purpose_will_be_study,_I_have_no_lack_of_skill_in_politics_-_I_will_wind_the_Lords_and_Ladies_around_your_finger,_Commander._And_since_the_'Three_Oaths'_no_longer_bind_me,_I_can_utterly_obliterate_your_enemies.
str_npc4_backstory_c So_tell_me,_adventurer,_are_you_looking_for_good_Dragon's_men?
str_npc5_backstory_c Zonnein_wonders_if_the_{Lord/Lady}_would_hire_her_to_bring_storms_of_Air_and_quakes_of_Earth_upon_His_enemies?
str_npc6_backstory_c So_this_is_where_I_am_now,_seeking_for_a_party_to_join._I_have_ability_in_changing_the_weather_to_favour_your_strikes,_I_can_destroy_your_enemies_with_lightening._You_would_be_well_to_know_that_not_many_Shorebound_know_of_this_-_perhaps_you_are_interested_in_my_service?
str_npc7_backstory_c I_do_not_wish_to_return_to_the_stedding,_not_just_yet._Perhaps_I_can_join_your_forces,_if_you_fight_for_a_similar_cause?_I_have_strength_and_size_greater_than_any_human,_you_would_be_well_to_take_advantage_of_such_a_service_from_an_Ogier.
str_npc8_backstory_c I_am_saving_my_pay_so_that_someday_I_will_be_able_to_field_a_force_of_my_own._With_a_troop_of_dedicated_followers,_I_know_I'll_be_able_to_make_a_name_for_myself,_and_my_Lord.
str_npc9_backstory_c Now_most_of_my_kinfolk_are_content_to_raise_sheep_for_the_rest_of_their_lives,_but_that_isn't_for_me._I've_always_wondered_what's_over_the_next_hill,_and_I'm_doing_my_best_to_find_out._Still,_life_on_the_road_is_a_bit_lonely,_and_I_wouldn't_mind_joining_up_with_a_band_of_travelers_some_day.
str_npc10_backstory_c Now_I_be_spending_a_little_coin,_getting_some_of_the_other_traders_drunk,_to_get_a_feel_for_the_markets.
str_npc11_backstory_c Though_I_would_rather_spend_my_time_at_the_School,_I_have_been_commissioned_to_look_for_other_academics_who_would_be_willing_to_join_us._I_also_plan_to_gather_some_information_while_I'm_out_concerning_what_everyday_needs_could_be_met_by_our_inventions._I've_actually_been_hoping_to_find_a_group_of_reputable_report_who_I_could_join_with_while_I_travel.
str_npc12_backstory_c Yes,_I_am_a_woman,_but_that_hasn't_kept_me_from_learning_the_flute_and_many_songs_and_tales._I_can_even_juggle_and_perform_several_acrobatics._I'm_still_learning,_but_I_guarantee_that_I'm_already_better_than_half_the_entertainers_out_there.
str_npc13_backstory_c After_thirty_years_in_service,_I_was_given_leave._I_decided_to_travel_and_see_part_of_the_world._But_after_touring_several_countries_in_the_southlands,_I_found_myself_mostly_just_disgusted_at_all_the_bickering_of_those_who_call_themselves_noble._For_the_past_few_years,_out_of_boredom_I_suppose,_I've_been_working_as_a_mercenary._There_isn't_as_much_honor_in_killing_men_for_money_as_there_is_fighting_Trollocs_in_the_Blight,_but_it's_a_lot_easier_for_an_old_warrior_like_me._Actually,_I've_recently_fulfilled_my_last_contract_and_would_be_looking_for_some_new_work.
str_npc14_backstory_c A_few_days_later_I_was_captured_by_some_Shienaran_villagers._I_think_they_would_have_killed_me_if_not_for_the_intervention_of_their_Wise_One._She_told_them_that_the_Shadowspawn_send_enough_soldiers_to_the_'last_embrace_of_the_Mother'_as_is,_and_Shienarans_would_help_anyone_who_was_wounded_fighting_Trollocs._Since_my_failure,_I've_been_looking_for_an_army_returning_to_the_Blight._I_must_meet_my_toh_before_I_can_face_my_spear_sisters_again.
str_npc15_backstory_c Actually,_my_{Lord/Lady}_would_you_mind_if_I_accompanied_you_for_a_bit?_I've_noticed_that_the_roads_are_somewhat_dangerous_to_travel_alone_in_these_lands._Where_I'm_from,_the_Blood_wouldn't_stand_for_that_sort_of_thing.
str_npc16_backstory_c Still,_a_life_of_adventuring_is_far_from_easy,_and_I_often_find_myself_lonely,_not_to_mention_hungry._In_fact_I've_been_looking_for_a_company_such_as_yours_to_join_for_companionship._Let_me_know_if_you_are_interested.
str_npc1_backstory_later I've_been_travelling_yet,_seeking_that_village._It_seems,_though,_that_it_is_not_to_be_found.
str_npc2_backstory_later I_have_signed_on_to_wandering_companies_for_the_odd_battle,_but_the_Power_seems_to_cause_as_much_fear_amoungst_my_employers_as_it_does_to_the_enemy.
str_npc3_backstory_later I_have_been_following_some_most_interesting_movements_in_court._It_does_so_amuse_me_that_some_think_that_they_serve_themselves,_when_in_fact_they_are_serving_my_Master._Court_does_become_droll,_however.
str_npc4_backstory_later I_returned_to_the_Tower_with_a_couple_of_men,_but_it_seems_that_my_usual_haunts_are_dry_of_new_blood.
str_npc5_backstory_later Zonnein_has_been_searching_for_mercenaries_willing_to_sign_her_in,_but_there_are_none_to_be_found!
str_npc6_backstory_later I_have_been_saving_my_money_and_working_where_I_can,_but_I_find_myself_losing_more_than_I_gain_while_I_am_without_business.
str_npc7_backstory_later I_have_offered_my_services_to_local_lords,_but_few_will_accept_an_ogier_amoungst_them._I_know_that_ogier_can_scare_humans_accidentally,_due_to_our_size,_but_I_did_not_realize_that_even_hardened_soldiers_would_fear_me.
str_npc8_backstory_later I'm_still_seeking_a_company_to_join._It_seems_there_are_far_to_many_captains_who_are_ruthless_these_days._I_feel_that_in_war,_honor_is_for_the_weak.
str_npc9_backstory_later I've_done_a_bit_of_traveling_the_last_few_days,_but_only_over_the_ridge_to_the_next_village._It's_a_quaint_place,_but_I'm_not_one_to_settle_down._If_you_are_looking_to_hire_on_a_scout,_let_me_know.
str_npc10_backstory_later I_be_laying_low_for_the_last_few_weeks._Those_ice_peppers_I_snuck_under_the_noses_of_the_custom's_guards_brought_quite_a_profit,_but_the_docks_have_been_busy,_which_makes_me_think_it_wouldn't_be_a_bad_idea_to_be_on_the_road_for_a_little_while.
str_npc11_backstory_later I_spent_the_last_few_weeks_seeking_out_those_persons_who_would_be_interest_to_pursue_higher_learning._And_despite_this_being_a_bit_of_a_backwater_region,_I'm_quite_satisfied_with_the_progress_I've_made._However,_I_still_plan_to_take_to_the_highway_soon,_and_I_don't_think_I_will_be_comfortable_traveling_on_my_own.
str_npc12_backstory_later I_have_traveling_from_town_to_town,_and_most_times_make_enough_to_keep_myself_fed._I_know_that_if_I_keep_at_it_I'll_get_the_respect_I_deserve.
str_npc13_backstory_later I_have_been_doing_a_bit_of_wandering_for_the_last_few_months._I_haven't_really_found_a_mercenary_band_that_fits_the_mold_I'm_looking_for._Still,_I_suppose_for_the_right_amount_of_money,_I_could_be_convinced_to_sign_on_just_about_anywhere.
str_npc14_backstory_later I_still_haven't_found_an_army_that_will_sign_me_on._The_Borderlanders_are_a_bit_skeptical_of_taking_on_an_Aiel_fighter._Our_peoples_have_had_their_share_of_disputes_in_the_past.
str_npc15_backstory_later I've_done_quite_a_bit_of_walking_since_we_last_met,_and_more_than_my_share_of_fighting_I_suppose._I_still_haven't_found_any_consistent_work,_but_I_do_feel_a_bit_more_comfortable_with_the_area.
str_npc16_backstory_later I_worked_a_brief_stint_in_Murandy_as_a_scout_for_Lady_Jennet's_guard_patrols,_but_that_really_wasn't_for_me._Too_much_sitting_in_one_place,_I_need_to_keep_moving_around_if_I'm_going_to_catch_news_of_the_Horn.
str_npc1_backstory_response_1 I_have_no_quarrel_with_you._But_what_can_you_offer_on_the_battlefield?
str_npc2_backstory_response_1 Yes,_I_am._Tell_me_about_yourself.
str_npc3_backstory_response_1 I_serve_many_masters,_but_only_one_Great_Lord_guides_my_hand.
str_npc4_backstory_response_1 By_the_Light,_any_of_the_Dragon's_servants_would_be_a_useful_addition_to_my_party.
str_npc5_backstory_response_1 Zonnein_will_be_a_most_welcome_addition_to_our_party!
str_npc6_backstory_response_1 You_would_be_useful_to_us,_indeed.
str_npc7_backstory_response_1 An_ogier_would_be_a_welcome_addition_to_our_party.
str_npc8_backstory_response_1 I_can_offer_you_opportunities_to_make_money_through_good_honest_fighting_and_pillaging.
str_npc9_backstory_response_1 Someone_who_can_tell_the_difference_between_a_pig_and_a_deer_track_would_be_most_welcome!
str_npc10_backstory_response_1 If_you're_looking_for_work,_I_could_use_someone_with_a_head_for_trade.
str_npc11_backstory_response_1 Perhaps_if_you_joined_our_company,_we_could_both_benefit_from_our_time_together.
str_npc12_backstory_response_1 Well,_you_could_travel_with_us,_but_I_can't_guarantee_you'll_never_see_battle.
str_npc13_backstory_response_1 I_might_be_able_to_use_an_extra_sword_in_my_company.
str_npc14_backstory_response_1 I_would_be_honored_to_have_a_warrior_such_as_yourself_in_my_company!
str_npc15_backstory_response_1 Everyone_who_I_enlist_needs_to_have_a_purpose._What_type_of_skills_do_you_have_to_offer?
str_npc16_backstory_response_1 I_might_be._What_can_you_do?
str_npc1_backstory_response_2 You_are_a_coward_to_run_from_justice._Leave_me_be,_freak.
str_npc2_backstory_response_2 I_need_no_more_men,_certainly_none_as_loud_as_you.
str_npc3_backstory_response_2 Is_this_a_trick,_Aes_Sedai?_I_serve_nobody!_The_Light_be_with_you,_good_day.
str_npc4_backstory_response_2 I_serve_only_myself,_and_have_no_wish_to_hear_preaching_sermons_of_the_Dragon.
str_npc5_backstory_response_2 What_kind_of_invalid_are_you?_Do_not_bother_me_again.
str_npc6_backstory_response_2 An_Atha'an_Miere_who_was_shipwrecked_and_became_a_mercenary?_You_sound_like_some_sort_of_spy.
str_npc7_backstory_response_2 I_have_no_need_of_an_ogier.
str_npc8_backstory_response_2 I'm_sorry,_but_I_don't_need_a_savage_causing_trouble_in_my_army.
str_npc9_backstory_response_2 Sorry,_but_everyone_I_hire_needs_to_be_committed_to_stick_around.
str_npc10_backstory_response_2 No_doubt_you'll_wake_up_with_your_head_in_a_noose,_and_you'll_deserve_it._Good_day.
str_npc11_backstory_response_2 I_don't_think_this_company_is_what_you_are_looking_for.
str_npc12_backstory_response_2 Thanks_for_the_song,_but_I_don't_want_my_men_distracted.
str_npc13_backstory_response_2 No,_sorry._Nothing_I_can_do_for_you.
str_npc14_backstory_response_2 I'm_sorry,_but_my_army_has_no_room_for_Aiel_savages.
str_npc15_backstory_response_2 Sorry._I've_got_all_the_men_that_I_can_manage_right_now.
str_npc16_backstory_response_2 Sorry,_lad,_but_I'm_more_interested_in_recruits_who_won't_vanish_over_night.
str_npc1_signup I_am_no_soldier,_but_I_can_mend_bones._I_can_brew_herbs_to_heal_ailments,_and_keep_your_army_healthy._I_can_save_lives,_and_raise_morale._But_I_will_not_be_party_to_injustice,_I_will_leave_if_you_decide_to_act_dishonorably.
str_npc2_signup I_can_kill_enemies_in_large_numbers,_but_I'm_afraid_that_I_cannot_work_the_wonders_you_may_have_heard_from_the_stories.
str_npc3_signup Yes,_I_can_talk_and_kill._Or_kill_and_talk_at_the_same_time?_Who_would_notice,_in_these_times_of_chaos?
str_npc4_signup Excellent!_Let_us_go_forth,_and_do_the_Dragon's_work!
str_npc5_signup Zonnein_is_happy_with_your_decision,_my_{Lord/Lady}!
str_npc6_signup Very_well._I_am_at_your_command,_Captain.
str_npc7_signup That_is_a_relief,_human._I_am_keen_to_hone_my_axe_under_your_service.
str_npc8_signup Can_you?_I_shall_accept_your_offer.
str_npc9_signup I_would_very_much_like_that,_good_{man/woman}.
str_npc10_signup Are_you,_now?_Well,_that's_a_sight_better_than_losing_a_hand,_or_swinging_from_a_gibbet_for_smuggling.
str_npc11_signup I'm_not_sure_how_much_help_I_would_be_in_an_actual_battle,_but_I_have_always_had_a_bit_of_a_love_for_fortifications._
str_npc12_signup That's_an_interesting_proposition._I_know_that_my_stories_and_songs_will_help_lift_the_spirits_of_your_men._And_I'm_far_from_useless_in_a_fight.
str_npc13_signup Very_good!_Though,_I'll_be_bringing_my_mace,_if_you_don't_mind.
str_npc14_signup I_would_be_pleased_to_travel_with_you,_and_I'm_willing_to_do_some_scouting_as_well,_if_you_trust_me._Don't_worry,_though_I_don't_ride_a_horse,_I_will_not_slow_you_down.
str_npc15_signup Like_I_said,_my_{Lord/Lady},_I'm_a_farmer_by_trade,_so_beyond_knowing_how_to_plant,_tend,_and_harvest_crops,_I'd_say_I'm_most_experienced_with_trade_and_the_business_of_handling_large_numbers_of_goods._Back_in_the_lands_around_Sen_T'j..._er,_where_I_grew_up,_my_father's_family_grew_wheat,_and_we_had_to_transport_it_all_to_the_village_mill._So,_I'm_pretty_good_at_handling_wagons,_and_horses_of_course.
str_npc16_signup Well_friend,_I've_traveled_much_of_the_coast,_so_if_you_need_a_set_of_eyes_that_know_the_lay_of_the_land,_I'm_your_man.
str_npc1_signup_2 That_said,_I_have_no_problem_with_anything_you_choose_to_do_with_soldiers_-_they_sign_up_to_fight,_after_all,_they_know_what_to_expect._I_also_have_no_Oaths_to_stop_me_using_the_Power_to_assist_your_army,_though_the_Aes_Sedai_may_object_to_this.
str_npc2_signup_2 I_cannot_fly,_or_take_an_army_to_another_location_instantly._But_then_again,_those_are_just_stories!_I_can_fight,_and_do_a_bloody_well_job_of_it!
str_npc3_signup_2 You_would_find_me_of_immense_value_to_you,_for_these_reasons._I_also_hold_many_contacts_at_all_levels,_and_am_no_stranger_to_changing_opinions_of_others.
str_npc4_signup_2 Of_course,_you_will_have_to_ensure_that_we_would_do_nothing_that_would_anger_the_Dragon._We_don't_want_his_wrath_aimed_at_us!
str_npc5_signup_2 She_will_fight_fiercely_and_destroy_her_{Lord/Lady}'s_enemies!_Zonnein_asks_that_the_{Lord/Lady}_stay_clear_of_the_Seanchan,_as_she_does_not_wish_to_be_captured_again.
str_npc6_signup_2 I_am_interested_in_seeing_how_the_Shorebound_would_fight_each_other._I_may_not_be_versed_in_Shorebound_politics,_but_I_am_aware_of_how_war_works_-_we_shall_see_if_we_agree_on_your_actions.
str_npc7_signup_2 I_do_have_one_condition,_human_-_I_wish_to_use_my_skills_to_defend_the_innocent,_the_pure,_and_the_defenseless,_not_to_be_a_common_brigand_and_wreak_more_misery_than_I_have_already_wrought.
str_npc8_signup_2 I_shall_be_pleased_to_fight_in_your_company,_but_I_warn_you,_if_you_have_a_problem_with_my_methods,_don't_try_calling_me_short._I_fight_how_I_like_and_nobody's_going_to_change_that.
str_npc9_signup_2 Ah,_I_probably_should_have_mentioned_it_sooner,_but_I'm_also_a_fair_hand_with_a_bow._There's_all_manner_of_creature_back_home_that_will_kill_a_sheep_given_a_chance._So_all_the_lads_learn_how_to_use_a_bow_almost_before_they_learn_how_to_walk.
str_npc10_signup_2 You_won't_regret_taking_me_on,_my_friend._I'm_could_sell_a_dock_guard_his_own_mother's_silver,_and_do_be_quite_practiced_with_my_cudgel._But,_be_warned,_I_don't_toadie_to_the_high-born.
str_npc11_signup_2 I_know_quite_a_bit_about_architecture,_and_am_a_fair_hand_with_mechanical_devices_as_well._If_you_are_planning_on_building,_or_destroying,_any_structures_during_the_time_I'm_under_your_protection,_I_would_be_glad_to_offer_advice.
str_npc12_signup_2 I've_become_quite_proficient_with_a_throwing_knife._Mostly_because_it_seems_some_folks_are_quite_impresses_when_I_juggle_five_or_six_of_them_at_once._And_if_you_ever_need_someone_with_a_flowery_tongue_to_spread_some_good_rumors_about_your_company,_you_know_who_to_ask.
str_npc13_signup_2 And_so_you_know,_I_also_have_my_own_warhorse._I_trained_him_from_a_colt._Beyond_that,_I've_performed_most_of_the_duties_needed_in_a_war_camp._Scouting,_tracking,_training..._I_can_even_tend_most_minor_wounds,_though_I_suspect_I'm_a_little_better_at_making_them.
str_npc14_signup_2 I_am_skilled_with_the_spear_and_the_bow,_and_I_can_do_my_part_to_help_train_the_new_recruits._Though_I_failed_my_sisters,_I_know_I_am_an_excellent_scout._One_day,_I_will_figure_out_what_went_wrong..._what_I_missed.
str_npc15_signup_2 I_know_you_may_be_looking_primarily_for_soldiers,_but_I_think_that_I_have_quite_a_bit_to_offer_during_the_times_we_aren't_actually_fighting._However,_like_I_said_before,_I_have_had_a_few_run-ins_with_bandits,_and_I_managed_to_come_out_on_top_in_those_scuffles.
str_npc16_signup_2 I_don't_consider_myself_a_soldier,_but_there's_been_a_time_or_two_where_bandits_thought_they_found_a_soft_target._I_send_them_packing_soon_enough,_and_sadly,_they_wouldn't_have_gotten_much_off_me_beyond_the_shirt_on_my_back.
str_npc1_signup_response_1 I_am_glad_to_welcome_you_to_our_ranks,_healer.
str_npc2_signup_response_1 You_will_be_a_valuable_addition_to_the_company,_I_see.
str_npc3_signup_response_1 Come,_let_us_sow_a_little_more_chaos_for_our_Master.
str_npc4_signup_response_1 Join_me,_let_us_sow_the_Dragon's_seeds!
str_npc5_signup_response_1 Of_course._Welcome_to_our_ranks,_Zonnein.
str_npc6_signup_response_1 Very_well._Come,_join_us.
str_npc7_signup_response_1 Your_services_will_be_most_welcome,_ogier.
str_npc8_signup_response_1 Well,_I_can't_say_that_I_lead_the_most_civilized_band_anyway._Welcome_aboard.
str_npc9_signup_response_1 An_archer_and_a_tracker,_it_must_be_my_lucky_day!
str_npc10_signup_response_1 Good._We'll_treat_you_with_the_respect_you_deserve.
str_npc11_signup_response_1 It_sounds_like_you'll_be_useful._I'll_introduce_you_to_the_men.
str_npc12_signup_response_1 Excellent,_a_little_entertainment_would_be_excellent_for_our_moral.
str_npc13_signup_response_1 Good._Make_yourself_ready,_and_we'll_be_on_our_way._
str_npc14_signup_response_1 Good._Grab_your_gear_and_head_out_to_our_camp.
str_npc15_signup_response_1 Actually,_we_could_really_use_someone_who_can_look_after_the_army's_supplies.
str_npc16_signup_response_1 I_can_always_use_a_keen_set_of_eyes._And_we_can_get_you_some_training_with_a_sword_as_well.
str_npc1_signup_response_2 I_will_do_what_I_wish_with_villagers,_and_have_no_need_of_witches.
str_npc2_signup_response_2 Experience_has_taught_me_that_those_with_the_loudest_bark,_bear_the_weakest_bite._Goodbye.
str_npc3_signup_response_2 Darkfriend!_Leave_me,_foul_creature,_and_do_not_return!
str_npc4_signup_response_2 No,_I_have_no_need_of_you_at_the_moment.
str_npc5_signup_response_2 No,_you_would_be_incredibly_annoying.
str_npc6_signup_response_2 I_will_not_have_you_compare_me_to_your_fish,_Windfinder.
str_npc7_signup_response_2 Erm,_no,_I_will_not_make_any_promises._War_is_dirty_business.
str_npc8_signup_response_2 So_that's_how_it_is?_It's_essential_that_my_orders_are_followed._Be_gone_with_you.
str_npc9_signup_response_2 I_just_remembered_that_my_bannerman_already_found_a_scout,_I_guess_we_can't_use_you.
str_npc10_signup_response_2 On_second_thought,_we_value_honesty_pretty_highly_in_our_company._Good_day_to_you.
str_npc11_signup_response_2 Sorry,_sir._We've_already_got_as_many_in_our_company_as_we_can_handle.
str_npc12_signup_response_2 Sorry,_but_I_need_my_men_to_be_focused_on_the_task_at_hand,_not_on_idle_tales_of_heroes.
str_npc13_signup_response_2 On_second_thought,_we_are_looking_for_soldiers_of_a_different_sort.
str_npc14_signup_response_2 Actually,_I_have_no_wish_to_provoke_a_mutiny_in_my_ranks._Good_day.
str_npc15_signup_response_2 Actually,_I'm_looking_for_someone_with_more_battlefield_experience._My_apologies.
str_npc16_signup_response_2 Sorry,_but_I'd_prefer_someone_who_won't_vanish_when_they_hear_the_Horn's_in_a_village_in_Saldaea.
str_npc1_payment It_feels_odd_to_join_an_army._Though_I_hold_reservations,_we_can_deal_with_them_on_the_road._Oh,_one_last_thing_-_I_will_need_{reg3}_crowns._As_I_said,_I_have_lost_all_my_herbs,_and_though_the_Healer_of_this_town_and_I_have_shared_knowledge,_herbs_are_too_valuable_to_give_away.
str_npc2_payment I_will_need_a_mere_{reg3}_crowns,_to_facilitate_my_equipment_requirements._I_have_no_value_to_you_dead,_you_see.
str_npc3_payment If_I_could_bother_you_for_{reg3}_crowns,_I_need_to_buy_some_traveling_clothes.
str_npc4_payment Ah,_if_you_would,_could_you_cover_my_tab?_It's_a_mere_{reg3}_crowns.
str_npc5_payment Ah,_one_last_thing,_my_{Lord/Lady}_-_Zonnein_requires_{reg3}_crowns_for_her_paywage.
str_npc6_payment Excellent._I_will_require_{reg3}_crowns_as_a_deposit.
str_npc7_payment Very_well,_human,_though_us_ogier_do_need_sustinence_-_{reg3}_crowns_will_do_for_now.
