1227
qstr_You_are_too_tired_to You_are_too_tired_to_channel...
qstr_This_quest_has_faile This_quest_has_failed._Talk_to_{s59}_to_explain_the_situation.
qstr_At_the_time_quest_wa At_the_time_quest_was_given:^{s1}
qstr_{!}{s4}_is_in_{s5} {!}{s4}_is_in_{s5}
qstr_{!}DEBUG___{s1}_is_i {!}DEBUG_--{s1}_is_infested_by_bandits.
qstr_{s5}_has_a_strength_ {s5}_has_a_strength_of_{reg1}_men_in_total.
qstr_The_last_time_you_sa The_last_time_you_saw_{reg1?her:him},_{s1}
qstr_The_last_time_you_he The_last_time_you_heard_about_{reg1?her:him},_{s1}
qstr_Current_garrison_con Current_garrison_consists_of_{reg5}_men.^Has_food_stock_for_{reg6}_days.
qstr_Very_Poor Very_Poor
qstr_Poor Poor
qstr_Average Average
qstr_Rich Rich
qstr_Very_Rich Very_Rich
qstr_{!}DEBUG_:_Doing_spa {!}DEBUG_:_Doing_spawn_bandit_script
qstr_Manor Manor
qstr_A_manor_lets_you_res A_manor_lets_you_rest_at_the_village_and_pay_your_troops_half_wages_while_you_rest.
qstr_Mill Mill
qstr_A_mill_increases_vil A_mill_increases_village_prosperity_by_5%.
qstr_Watch_Tower Watch_Tower
qstr_A_watch_tower_lets_t A_watch_tower_lets_the_villagers_raise_alarm_earlier._The_time_it_takes_for_enemies_to_loot_the_village_increases_by_50%.
qstr_School School
qstr_A_shool_increases_th A_shool_increases_the_loyality_of_the_villagers_to_you_by_+1_every_month.
qstr_Messenger_Post Messenger_Post
qstr_A_messenger_post_let A_messenger_post_lets_the_inhabitants_send_you_a_message_whenever_enemies_are_nearby,_even_if_you_are_far_away_from_here.
qstr_Prison_Tower Prison_Tower
qstr_A_prison_tower_reduc A_prison_tower_reduces_the_chance_of_captives_held_here_running_away_successfully.
qstr_Prosperity_of_{s2}_h Prosperity_of_{s2}_has_changed_from_{s3}_to_{s4}.
qstr_{!}DEBUG:_Total_pros {!}DEBUG:_Total_prosperity_actual_losses:_{reg11}
qstr_{!}DEBUG:_Total_prosp {!}DEBUG:_Total_prosperity_actual_gains:_{reg12}
qstr_{!}DEBUG:_Prosperity {!}DEBUG:_Prosperity_changes_from_random_bandits:_{reg4}
qstr_{!}DEBUG:_Prosperity_ {!}DEBUG:_Prosperity_changes_from_caravan_trades:_{reg5}
qstr_{!}DEBUG:_Prosperity_c {!}DEBUG:_Prosperity_changes_from_farmer_trades:_{reg9}
qstr_{!}DEBUG:_Prosperity_ch {!}DEBUG:_Prosperity_changes_from_looted_villages:_{reg7}
qstr_{!}DEBUG:_Prosperity_cha {!}DEBUG:_Prosperity_changes_from_sieges:_{reg8}
qstr_{!}DEBUG:_Theoretica {!}DEBUG:_Theoretical_prosperity_changes_from_convergence:_{reg10}
qstr_{s4}_looks_upset. {s4}_looks_upset.
qstr_your_party your_party
qstr_{reg0?One_of_your_pr {reg0?One_of_your_prisoners,_:}{s1}_of_{s3}_has_escaped_from_captivity!
qstr_You_brought_{reg3}_h You_brought_{reg3}_heads_of_cattle_to_{s1}.
qstr_{!}Village_now_has_{ {!}Village_now_has_{reg4}
qstr_I_heard_that_there_w I_heard_that_there_will_be_a_tournament_in_{s62}_soon.
qstr_I_heard_that_one_can I_heard_that_one_can_buy_{s62}_very_cheap_at_{s63}.
qstr_I_heard_that_they_pa I_heard_that_they_pay_a_very_high_price_for_{s62}_at_{s63}.
qstr_{!}_DEBUG___random_{ {!}_DEBUG_-_random_{reg0}_(0_to_20),_used_reputation_{reg2}_instead_of_{reg1}
qstr_{!}_DEBUG___variable {!}_DEBUG_-_variable_responses_disabled,_kept_reputation_{reg2}
qstr_{!}_DEBUG___random_{r {!}_DEBUG_-_random_{reg0}_(0_to_20),_kept_reputation_{reg2}
qstr_{!}Log_entry_{reg3}: {!}Log_entry_{reg3}:_type_{reg4}
qstr_{!}Center:_{s4} {!}Center:_{s4}
qstr_{!}Troop:_{s4} {!}Troop:_{s4}
qstr_{!}Lord:_{s4} {!}Lord:_{s4}
qstr_{!}Ally_party_is_pre {!}Ally_party_is_present
qstr_{!}{s4}_is_present_a {!}{s4}_is_present_at_event
qstr_{!}Event_#{reg5}_typ {!}Event_#{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_troop_object_=_{reg7}
qstr_{!}Event_#{reg5}_type {!}Event_#{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_center_object_faction_=_{reg7}
qstr_{!}Event_#{reg5}_type_ {!}Event_#{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_faction_object_=_{reg7}
qstr_{!}Event_#{reg5}_type_{ {!}Event_#{reg5},_type_{reg6},_time_{reg8}._No_relevant_kingdom_relation
qstr_{!}Event_#{reg5}_type_{r {!}Event_#{reg5},_type_{reg6},_time_{reg8}._Player_unaffiliated
qstr_{!}Elapsed_hours:_{r {!}Elapsed_hours:_{reg7}
qstr_{!}Reputation_type:_ {!}Reputation_type:_{s15}
qstr_{!}Entries_up_to_#{r {!}Entries_up_to_#{reg5}_skipped
qstr_two_days_ago two_days_ago
qstr_{!}DEBUG___{s4}_faction_c {!}DEBUG_-_{s4}_faction_changed_in_subornment
qstr_{!}{s4}_inflicts_{re {!}{s4}_inflicts_{reg4}_damage_on_{s5},_raising_total_inflicted_to_{reg3}
qstr_{!}War_damage_raises {!}War_damage_raises_{s4}'s_controversy_by_{reg4}_to_{reg5}
qstr_{!}War_damage_lowers {!}War_damage_lowers_{s4}'s_controversy_by_{reg4}_to_{reg5}
qstr_{!}G_talk_troop_{s20 {!}G_talk_troop_{s20}_evaluates_being_vassal_to_{s22}_of_{s21}
qstr_{!}DEBUG____Analyzin {!}DEBUG_--_Analyzing_lord_allegiances,_combined_bonuses_and_penalties_=_{reg0}
qstr_{!}DEBUG____Total_co {!}DEBUG_--_Total_courtship_quarrel_changes:_{reg4}
qstr_{!}DEBUG____Total_ra {!}DEBUG_--_Total_random_quarrel_changes:_{reg4}
qstr_{!}DEBUG____Total_ba {!}DEBUG_--_Total_battle_changes_for_allies:_{reg4}
qstr_{!}DEBUG____Total_bat {!}DEBUG_--_Total_battle_changes_for_enemies:_{reg4}
qstr_{!}DEBUG____Total_pr {!}DEBUG_--_Total_promotion_changes:_{reg4}
qstr_{!}DEBUG____Total_fe {!}DEBUG_--_Total_feast_changes:_{reg4}
qstr_{!}DEBUG____Total_po {!}DEBUG_--_Total_policy_dispute_changes:_{reg4}_from_{reg5}_decisions
qstr_{!}DEBUG____Total_fa {!}DEBUG_--_Total_faction_switch_changes:_{reg4}
qstr_{!}DEBUG____Total_no {!}DEBUG_--_Total_no_fief_changes:_{reg4}
qstr_{!}DEBUG____Total_ch {!}DEBUG_--_Total_changes_through_convergence:_{reg4}
qstr_{!}DEBUG____Total_va {!}DEBUG_--_Total_vassal_responses_to_campaign:_{reg4}
qstr_{!}DEBUG____Total_vas {!}DEBUG_--_Total_vassal_campaign_days:_{reg4}
qstr_{!}DEBUG____Vassal_r {!}DEBUG_--_Vassal_response_rate:_{reg4}
qstr_{!}DEBUG___{s4}_s_fe {!}DEBUG_-_{s4}'s_feast_has_rating_of_{reg4}
qstr_{!}_DEBUG___{s4}_fac {!}_DEBUG_-_{s4}_faction_change_in_marriage_case_5
qstr_{!}DEBUG___{s4}_faction_ch {!}DEBUG_-_{s4}_faction_changed_by_marriage,_case_6
qstr_{!}DEBUG___{s4}_stro {!}DEBUG_-_{s4}_strongest_kingdom_with_{reg3}_strength
qstr_{!}DEBUG___including {!}DEBUG_-_including_offensive_and_defensive_alliances_{s4}_strongest_kingdom_with_{reg3}_strength
qstr_{!}DEBUG___including_ {!}DEBUG_-_including_only_defensive_alliances_{s4}_strongest_kingdom_with_{reg3}_strength
qstr_{!}Actor_centers_hel {!}Actor_centers_held_by_target_noted
qstr_{!}War_damage_under_ {!}War_damage_under_minimum
qstr_{!}Strength_ratio_co {!}Strength_ratio_correct
qstr_{!}Third_party_wars {!}Third_party_wars
qstr_{!}DEBUG____No_third {!}DEBUG_--_No_third_party_wars_for_{s15}
qstr_{!}DEBUG____{s15}_is {!}DEBUG_--_{s15}_is_strongest_kingdom
qstr_{!}DEBUG____{s15}_ha {!}DEBUG_--_{s15}_has_30_point_advantage_over_{s16}
qstr_{!}DEBUG____{s15}_has {!}DEBUG_--_{s15}_has_proximity_to_{s16}
qstr_{!}Castle_taken_by_{ {!}Castle_taken_by_{s3}
qstr_{!}Two_thirds_averag {!}Two-thirds_average_renown_=_{reg3}
qstr_{!}DEBUG____Colleagu {!}DEBUG_--_Colleague_test:_score_for_{s10}_=_{reg3}
qstr_{!}DEBUG____Open_tes {!}DEBUG_--_Open_test:_score_for_{s10}_=_{reg3}
qstr_{!}DEBUG____{s8}_bac {!}DEBUG_--_{s8}_backs_{s9}:{s10}
qstr_{!}DEBUG____{s4}_pro {!}DEBUG_--_{s4}_produces_a_faction_strategy_for_{s33}
qstr_{!}Best_offensive_ta {!}Best_offensive_target_{s4}_has_value_level_of_{reg1}
qstr_{!}No_center_found_t {!}No_center_found_to_attack
qstr_{!}Best_threat_of_{s {!}Best_threat_of_{s4}_has_value_level_of_{reg1}
qstr_{!}No_center_found_to {!}No_center_found_to_defend
qstr_Best_threat_of_{s4}_ Best_threat_of_{s4}_has_value_level_of_{reg1}
qstr_No_center_found_to_d No_center_found_to_defend
qstr_You_gain_right_to_ru You_gain_right_to_rule.
qstr_You_lose_right_to_ru You_lose_right_to_rule.
qstr_{!}DEBUG___{s4}_faction_cha {!}DEBUG_-_{s4}_faction_changed_in_indictment
qstr_{!}{s9} {!}{s9}
qstr_{s0}^{s1} {s0}^{s1}
qstr_{reg0}_denars_added_ {reg0}_denars_added_to_treasury.
qstr_{reg0}_denars_remove {reg0}_denars_removed_from_treasury.
qstr_{!}DEBUG_:_removing_ {!}DEBUG_:_removing_player_troops:_{reg0}%
qstr_{!}DEBUG_:_sum:_{reg {!}DEBUG_:_sum:_{reg0}
qstr_{s1}_and_{s2}_have_en {s1}_and_{s2}_have_entered_into_an_alliance_with_each_other.
qstr_{s1}_and_{s2}_have_c {s1}_and_{s2}_have_concluded_a_defensive_pact_with_each_other.
qstr_{s1}_and_{s2}_have_co {s1}_and_{s2}_have_concluded_a_trade_agreement_with_each_other.
qstr_{s1}_and_{s2}_have_con {s1}_and_{s2}_have_concluded_a_non_aggression_pact_with_each_other.
qstr_{!}DEBUG_:_faction_n {!}DEBUG_:_faction_no_1_value:_{reg0}
qstr_{!}DEBUG_:_faction_no {!}DEBUG_:_faction_no_2_value:_{reg0}
qstr_{!}DEBUG_:_peace_war {!}DEBUG_:_peace_war_result:_{reg0}
qstr_{!}DEBUG_:_prisoner_ {!}DEBUG_:_prisoner_value:_{reg0}
qstr_{!}DEBUG_:_peace_war_ {!}DEBUG_:_peace_war_result_after_prisoners:_{reg0}
qstr_{!}DEBUG_:_truce_pay {!}DEBUG_:_truce_pay_amount0:_{reg0}
qstr_{!}DEBUG_:_truce_pay_ {!}DEBUG_:_truce_pay_amount1:_{reg1}
qstr_{!}DEBUG___Send_mess {!}DEBUG_-_Send_message_to_{s13}
qstr_{!}DEBUG___Bring_{s1 {!}DEBUG_-_Bring_{s12}_to_{s13}
qstr_{s5}_patrol {s5}_patrol
qstr_{!}DEBUG___Added_{re {!}DEBUG_-_Added_{reg0}.template_of_faction_{s7}_to_patrol.
qstr_{!}DEBUG___Send_{s14 {!}DEBUG_-_Send_{s14}_patrol_from_{s15}_to_{s13}
qstr_Transfer_to_{s5} Transfer_to_{s5}
qstr_{s5}_scout {s5}_scout
qstr_{!}{s6}_of_the_{s5}_ {!}{s6}_of_the_{s5}_retains_the_remaining_{reg0}_denars_(dplmc_faction_leader_splits_gold)
qstr_{s4}_has_returned_fr {s4}_has_returned_from_exile,_seeking_refuge_with_{s6}_of_{s5}.
qstr_{s4}_has_been_grante {s4}_has_been_granted_a_pardon_by_{s6}_of_{s5}_and_has_returned_from_exile.
qstr_{!}DEBUG_:_failure_i {!}DEBUG_:_failure_in_dplmc_lord_return_from_exile((s5},_{s7})
qstr_{!}_ERROR:_called_sc {!}_ERROR:_called_script_dplmc-store-troop-is-female-reg_with_bad_argument_{reg4}
qstr_Given_the_way_things Given_the_way_things_stand_between_us_at_the_moment,_{playername},_I_would_not_consider_it_prudent_to_enter_into_such_an_arrangement.
qstr_{playername}_I_am_gr {playername},_I_am_grateful_to_you,_but_in_the_eyes_of_the_people_you_do_not_have_sufficient_legitimacy_as_a_potential_co-ruler.__Marrying_you_would_undermine_my_own_claim_to_the_throne.
qstr_{!}DEBUG___player_re {!}DEBUG_-_player_renown_{reg0},_required_renown_{reg1}
qstr_{playername}_I_know_ {playername},_I_know_that_if_it_were_not_for_you_I_would_not_sit_on_this_throne,_but_your_name_is_little_renowned_in_Calradia.__Marrying_you_would_be_perceived_as_an_uneven_match_and_would_call_into_question_my_own_claim_to_the_throne.
qstr_{!}DEBUG___player_sc {!}DEBUG_-_player_score_{reg0}_out_of_a_required_{reg1}
qstr_{playername}_I_am_gra {playername},_I_am_grateful_for_your_assistance_in_regaining_my_rightful_throne,_but_you_do_not_have_sufficient_personal_holdings_to_be_a_suitable_match_for_me.__It_would_be_an_uneven_partnership.
qstr_{!}DEBUG___player_sco {!}DEBUG_-_player_score_{reg0},_competitor_score_{reg1}
qstr_{playername}_I_am_grat {playername},_I_am_grateful_to_you,_but_if_I_were_to_accept_at_this_time_I_would_risk_offending_powerful_lords_such_as_{s15},_who_may_consider_themselves_to_have_honor_equal_to_or_greater_than_your_own.
qstr_{playername}_I_am_grate {playername},_I_am_grateful_to_you,_but_if_I_were_to_accept_at_this_time_I_would_risk_offending_great_lords_such_as_{s15},_who_may_consider_themselves_to_have_honor_equal_to_or_greater_than_your_own.
qstr_{!}DEBUG___player_rel {!}DEBUG_-_player_relation_{reg0},_rival_relation_{reg1}
qstr_{playername}_while_I {playername},_while_I_am_grateful_to_you,_I_must_confess_I_am_fond_of_{s15}.
qstr_{!}DEBUG___lords_in_ {!}DEBUG_-_lords_in_faction_{reg0},_required_lords_{reg1}
qstr_Our_realm_has_too_fe Our_realm_has_too_few_vassals.__In_the_current_precarious_state_of_the_affairs_I_must_use_the_lure_of_a_potential_political_alliance_to_attract_new_vassals,_and_cannot_yet_be_seen_to_commit_to_any_single_{reg65?suitor:candidate}.
qstr_{!}DEBUG___liege_has {!}DEBUG_-_liege_has_{reg0}_center_points,_needs_at_least_{reg1}
qstr_Because_I_have_insuf Because_I_have_insufficient_personal_holdings_compared_to_{s15},_if_I_entered_into_such_an_arrangement_I_would_risk_appearing_to_be_a_puppet,_throwing_the_stability_of_the_realm_into_jeopardy.
qstr_Because_my_personal_ Because_my_personal_holdings_are_insufficiently_large_compared_to_other_lords_of_the_{s14},_if_I_entered_into_such_an_arrangement_I_would_risk_appearing_to_be_a_puppet,_throwing_the_stability_of_the_realm_into_jeopardy.
qstr_I_am_grateful_to_you I_am_grateful_to_you,_{playername},_but_you_have_too_many_enemies_among_the_lords_of_the_{s14}_for_your_proposal_to_be_politically_viable.__If_I_were_to_accept,_there_might_be_a_revolt.
qstr_You_have_engendered_ You_have_engendered_too_much_controversy_recently,_{playername}_.__If_I_were_to_accept_at_this_time,_there_might_be_a_revolt_among_the_lords_of_the_{s14}.__Let_us_speak_of_this_later_when_the_furor_has_died_down.
qstr_If_you_desire_to_lea If_you_desire_to_lead_the_{s14}_alongside_me,_gather_support_among_my_vassals_to_become_marshall,_and_demonstrate_to_them_your_abilities_as_a_war_leader.
qstr_Our_realm_has_lost_t Our_realm_has_lost_too_much_territory.__We_once_held_{s1}_but_now_only_hold_{s0}.__In_the_current_precarious_state_of_affairs_I_must_retain_the_possibility_of_a_political_alliance_to_use_as_a_bargaining_chip_with_the_other_sovereigns,_so_I_yet_be_seen_to_commit_to_any_single_{reg65?suitor:candidate}.__Restore_the_{s14}_to_its_former_glory,_and_I_will_gladly_have_you_rule_beside_me_as_my_{husband/wife}.
qstr_{s0}_{reg0?have:has} {s0}_{reg0?have:has}_been_lost_to_foreign_hands.__Restore_the_{s14}_to_its_rightful_boundaries,_and_I_will_gladly_have_you_rule_beside_me_as_my_{husband/wife}.
qstr_You_have_only_been_m You_have_only_been_marshall_for_{reg0}_{reg1?days:day}.__Let_us_speak_of_this_after_you_have_held_the_post_for_at_least_two_weeks.
qstr_If_not_for_you_I_wou If_not_for_you_I_would_not_sit_on_this_throne,_{playername}.__When_we_started_our_long_walk,_few_people_had_the_courage_to_support_me.__And_fewer_still_would_be_willing_to_put_their_lives_at_risk_for_my_cause.__But_you_didn't_hesitate_for_a_moment_in_throwing_yourself_at_my_enemies._We_have_gone_through_a_lot_together,_and_with_God's_help,_we_prevailed.__I_will_gladly_accept_you_as_both_my_{husband/wife}_and_co-ruler_of_the_{s14}.
qstr_You_sold_{reg1}_{reg You_sold_{reg1}_{reg3?items:item}_to_{s0}_and_gained_{reg0}_{reg3?denars:denar}.
qstr_You_sold_{reg1}_{reg3 You_sold_{reg1}_{reg3?items:item}_to_the_{s0}_and_gained_{reg0}_{reg3?denars:denar}.
qstr_{!}_ERROR_FOR_AUTOSE {!}_ERROR_FOR_AUTOSELL_for_town_ID_{reg0}:_Bad_town_or_merchant_was_missing
qstr_You_have_bought_{reg You_have_bought_{reg2}_{reg4?kinds:kind}_of_food_and_lost_{reg1}_{reg3?denars:denar}.
qstr_You_sold_{reg2}_{reg You_sold_{reg2}_{reg4?kinds:kind}_of_rotten_food_and_gained_{reg1}_{reg3?denars:denar}.
qstr_axe axe
qstr_spear spear
qstr_bow bow
qstr_sword sword
qstr_axes axes
qstr_spears spears
qstr_bows bows
qstr_swords swords
qstr_swing_my_axe swing_my_axe
qstr_lift_my_spear lift_my_spear
qstr_loose_my_arrows loose_my_arrows
qstr_swing_my_sword swing_my_sword
qstr_kings kings
qstr_lord lord
qstr_lords lords
qstr_my_goatherd my_goatherd
qstr_my_stableboy my_stableboy
qstr_my_swineherd my_swineherd
qstr_wine wine
qstr_{!}ERROR___dplmc_pri {!}ERROR_-_dplmc_print_cultural_word_to_sreg_called_for_bad_context_{reg0}
qstr_{reg6?M:m}y_poppet {reg6?M:m}y_poppet
qstr_{!}_Checked_if_facti {!}_Checked_if_faction_{reg1}_is_prejudiced_against_{reg2?women:men}:_{reg0?true:false}
qstr_{reg0?Y:y}ou {reg0?Y:y}ou
qstr_{reg0?M:m}yself {reg0?M:m}yself
qstr_{reg0?Our_{s1}:our_{ {reg0?Our_{s1},:our_{s1}}_{s0}
qstr_{reg0?My_{s1}:my_{s1 {reg0?My_{s1},:my_{s1}}_{s0}
qstr_{reg0?Your_{s1}:your {reg0?Your_{s1},:your_{s1}}_{s0}
qstr_Hold Hold
qstr_{s1}_x{reg0} {s1}_x{reg0}
qstr_Hold_Fire Hold_Fire
qstr_Fire_at_Will Fire_at_Will
qstr_Use_Shield Use_Shield
qstr_Back_10_Paces Back_10_Paces
qstr_One_Handed_Weapons One-Handed_Weapons
qstr_Two_Handed_Weapons Two-Handed_Weapons
qstr_Ranged_Weapons Ranged_Weapons
qstr_{s2}^{s1} {s2}^{s1}
qstr_No_Position_Orders No_Position_Orders
qstr_No_Weapons_Orders No_Weapons_Orders
qstr_ready_bows_and_missi ready_bows_and_missiles
qstr_ready_side_arms ready_side_arms
qstr_ready_two_handers ready_two-handers
qstr_ready_polearms ready_polearms
qstr_brandish_shields brandish_shields
qstr_doff_your_shields doff_your_shields
qstr_shields_at_will shields_at_will
qstr_avoid_melee avoid_melee
qstr_stand_and_fight stand_and_fight
qstr_prepare_to_volley prepare_to_volley
qstr_end_volley end_volley
qstr_brace_for_charge brace_for_charge
qstr_remove_brace_and_fig remove_brace_and_fight
qstr_{!}{s2}_{s3} {!}{s2},_{s3}
qstr_Everyone Everyone
qstr_{!}{s2}_{s1}! {!}{s2},_{s1}!
qstr_No_Troops_Left. No_Troops_Left.
qstr_ranks ranks
qstr_shield_wall shield_wall
qstr_wedge wedge
qstr_square square
qstr_up up
qstr_{!}{s2}_forming_{s1} {!}{s2}_forming_{s1}.
qstr_Not_enough_troops_in Not_enough_troops_in_{s2}_to_form_{s1},_but_holding.
qstr_{!}{s2}_cannot_form_ {!}{s2}_cannot_form_{s1},_so_is_holding.
qstr_Infantry_formation_d Infantry_formation_disassembled.
qstr_Archer_formation_dis Archer_formation_disassembled.
qstr_Cavalry_formation_di Cavalry_formation_disassembled.
qstr_Formation_disassembl Formation_disassembled.
qstr_You_whistle_for_your You_whistle_for_your_horse.
qstr_You_got_keys_of_dung You_got_keys_of_dungeon.
qstr_You_have_been_knocke You_have_been_knocked_out_by_the_enemy._Watch_your_men_continue_the_fight_without_you_or_press_Tab_to_retreat.
qstr_Everyone_you_know_wh Everyone,_you_know_what_to_do._To_your_positions!
qstr_{reg2?You:Your_mount {reg2?You:Your_mount}_received_{reg1}_extra_damage!
qstr_{reg2?You_strike:You {reg2?You_strike:Your_horse_charges}_for_{reg1}_bonus_damage!
qstr_Your_horse_received_ Your_horse_received_{reg1}_damage_from_a_braced_spear!
qstr_Braced_{s1}_dealt_{r Braced_{s1}_dealt_{reg1}_damage!
qstr_Bracing_{s1}_for_cha Bracing_{s1}_for_charge.
qstr_Releasing_spear. Releasing_spear.
qstr_The_injury_causes_yo The_injury_causes_your_grip_on_the_spear_to_slip!
qstr_You_must_stay_behind You_must_stay_behind_the_line_on_the_ground!_Point_is_not_counted.
qstr_Tutorial Tutorial
qstr_You_have_gone_mad_wi You_have_gone_mad_with_fear...
qstr__Next_pay_day:_{s1} _Next_pay_day:_{s1}
qstr_{s1}^^Affiliated_to_ {s1}^^Affiliated_to_{s5}
qstr_{!}{s4}:_M{reg3}_2M{ {!}{s4}:_M{reg3},_2M{reg4},_PC{reg5},_2PC{reg6},_PM{reg7}
qstr_You_came_into_the_wo You_came_into_the_world_a_{reg3?daughter:son}_of_a_powerful_noble._You_were_afforded_a_good_education_and_were_trained_from_childhood_for_the_rigors_of_aristocracy_and_life_at_court._It_seemed_the_world_was_yours_from_the_very_start.
qstr_You_were_born_the_{r You_were_born_the_{reg3?daughter:son}_of_a_warder_of_the_White_Tower._It_was_interesting,_being_raised_by_such_a_dangerous_man,_but_you_received_an_excellent_education_and_learned_how_to_defend_yourself._Your_time_in_Tar_Valon_also_kept_you_aware_of_the_world_around_you.
qstr_As_a_child_your_fami As_a_child,_your_family_scrabbled_out_a_meagre_living_from_your_father's_wages_as_a_guardsman_to_the_local_lord._It_was_not_an_easy_existence,_and_you_were_too_poor_to_get_much_of_an_education._You_learned_mainly_how_to_defend_yourself_on_the_streets,_with_or_without_a_weapon_in_hand.
qstr_{reg3?daughter:son} {reg3?daughter:son}
qstr_You_were_the_{reg3?d You_were_the_{reg3?daughter:son}_of_a_man_who_enjoyed_being_on_the_move,_and_did_whatever_it_took_to_not_settle_down._You_might_not_have_received_a_formal_education,_but_you_were_taught_to_fend_for_yourself_from_a_young_age.
qstr_You_were_a_child_of_ You_were_a_child_of_a_successful_merchant._Traveling_the_road_of_the_Southlands_was_how_your_father_lived._He_took_great_pride_in_anticipating_what_goods_would_be_needed_where._You_became_familiar_with_the_towns_and_villages,_and_learned_much_of_the_laws_governing_trade_as_well.
qstr_As_the_{reg3?daughte As_the_{reg3?daughter:son}_of_a_farmer,_you_had_very_little_'formal'_education._Instead,_you_spent_much_of_your_time_in_the_fields_and_around_livestock._It_may_have_been_boring_at_times_but_you_learned_how_to_do_a_good_day's_work._Your_father_taught_you_how_to_raise_a_good_crop_and_then_barder_with_the_merchants_come_market_time.
qstr_As_the_{reg3?daughter As_the_{reg3?daughter:son}_of_a_thief,_you_had_very_little_'formal'_education._You_didn't_really_learn_how_to_earn_a_living,_but_rather_how_to_take_what_you_needed._Quick_hands_and_silent_feet_were_the_traits_passed_on_to_you._That_and_a_general_distaste_for_the_town_watch.
qstr_As_the_{reg3?daughter: As_the_{reg3?daughter:son}_of_a_tradesman,_you_were_taught_how_to_use_tools._Your_father_put_in_long_days_in_the_workshop_and_was_recognized_far_and_near_for_his_'wonders'._While_watching_him_work,_you_gained_an_understanding_of_mechanics,_woodworking,_and_metal_crafting.
qstr_Your_mother_made_sur Your_mother_made_sure_you_were_raised_right;_you_were_kept_from_the_harmful_influence_of_the_common_folk._You_were_taught_the_basics_of_the_Game_of_Houses_and_also_of_courtly_love._You_saw_portions_of_the_lives_of_commoners,_but_only_through_the_curtains_of_a_coach_or_when_it_was_festival_time.
qstr_As_a_{reg3?daughter: As_a_{reg3?daughter:son}_of_an_Aes_Sedai,_you_were_taught_to_be_comfortable_with_the_One_Power_from_your_youth._You_didn't_always_get_to_spend_as_much_time_with_your_mother_as_you_would_have_liked,_but_the_time_you_did_have_was_certainly_unique.
qstr_As_a_young_{reg3?gir As_a_young_{reg3?girl:boy},_you_were_some_lucky_to_have_a_mother_who_was_always_around_home._She_patched_up_your_bumps_and_bruises,_and_taught_you_the_important_things,_like_how_to_get_along_with_others,_and_if_necessary,_make_your_own_meals.
qstr_As_a_member_of_the_W As_a_member_of_the_Women's_Circle,_your_mother_was_a_respected_member_of_the_community._She_taught_you_to_think_before_you_spoke,_and_also_to_take_action_to_get_things_accomplished._You_were_instilled_with_a_sense_of_leadership_but_also_a_respect_for_those_in_authority.
qstr_As_a_{reg3?daughter:s As_a_{reg3?daughter:son}_of_an_innkeeper,_you_had_the_opportunity_to_meet_many_travelers_from_the_surrounding_lands._You_witnessed_good_storytelling,_and_learned_the_importance_of_a_good_meal_and_perhaps_a_flagon_of_ale_to_keep_men's_spirits_up.
qstr_Your_mother_left_whe Your_mother_left_when_you_were_young._She_had_always_been_a_restless_spirit,_and_when_the_Hunt_for_the_Horn_was_called,_it_was_too_great_an_opportunity_to_turn_down._During_her_time_with_you,_her_stories_of_the_world_around_rubbed_off_on_you_as_well.
qstr_Your_mother_may_not_ Your_mother_may_not_have_had_the_highest_reputation_in_some_circles,_but_she_never_showed_you_anything_but_love._She_gave_you_everything_within_her_power,_and_did_her_best_to_raise_you_right._Her_cheerfulness_and_sacrificial_attitude_went_far_in_shaping_your_future.
qstr_Your_mother_was_a_bu Your_mother_was_a_business_woman_through_and_through._As_a_talented_seamstress,_she_was_able_to_make_a_beautiful_outfit_out_of_fabrics_that_many_people_would_have_considered_scraps._She_taught_you_how_to_bargain_and_also_the_benefit_of_good_honest_labor.
qstr_As_a_{reg3?girl:boy} As_a_{reg3?girl:boy}_growing_out_of_childhood,_you_were_sent_to_live_in_the_court_of_one_of_the_nobles_of_the_land._There,_your_first_lessons_were_in_humility,_as_you_waited_upon_the_lords_and_ladies_of_the_household._But_from_their_chess_games,_their_gossip,_even_the_poetry_of_great_deeds_and_courtly_love,_you_quickly_began_to_learn_about_the_adult_world_of_conflict_and_competition._You_also_learned_from_the_rough_games_of_the_other_children,_who_battered_at_each_other_with_sticks_in_imitation_of_their_elders'_swords.
qstr_{reg3?daughter:man} {reg3?daughter:man}
qstr_{reg3?woman:man} {reg3?woman:man}
qstr_As_a_child_you_serve As_a_child_you_served_as_a_lady-in-waiting._You_were_introdced_to_the_tightly-knit_circle_of_women_at_court,_ladies_who_all_did_proper_ladylike_things,_the_wives_and_mistresses_of_noble_men_as_well_as_maidens_who_had_yet_to_find_a_husband._However,_even_here_you_found_politics_at_work_as_the_ladies_schemed_for_prominence_and_fought_each_other_bitterly_to_catch_the_eye_of_whatever_unmarried_man_was_in_fashion_at_court._You_soon_learned_ways_of_turning_these_situations_and_goings-on_to_your_advantage._With_it_came_the_realisation_that_you_yourself_could_wield_great_influence_in_the_world,_if_only_you_applied_yourself_with_a_little_bit_of_subtlety.
